,Current Status,Gender,Education,Occupation,Account type,Have minimum balance?,Have multiple accounts?,Own an active loan?,Use internet or mobile banking?,Has an active credit Card?,Ever defaulted on a loan?,Satisfied with bank service?,Any transaction in the past 24 months,Age,Opening balance,Current balance,Dist of residence from the bank,Quarterly activity rate,Months since last transaction
98,Active,Male,12th,Student,Savings,Yes,No,No,No,No,No,No,Yes,22,0,0.0,23.7912,12.0,1.0
99,Active,Female,Graduate,Salaried,Savings,No,No,No,Yes,No,No,No,Yes,25,0,27239.0,7.0,15.0,3.0
100,Active,Female,Graduate,Salaried,Salaried,Yes,Yes,Yes,Yes,Yes,No,Need Improvement,Yes,37,5947,27239.0,2.0,20.0,1.0
101,Dormant,Female,Doctrate,Salaried,Salaried,No,Yes,Yes,No,No,No,No,No,36,500,240.0,23.7912,6.0,5.4478
102,Active,Male,Graduate,Salaried,Salaried,No,Yes,Yes,Yes,No,No,Need Improvement,Yes,24,0,120.0,2.0,35.0,1.0
103,Dormant,Male,Post Graduate,Business,Savings,No,Yes,No,No,No,No,No,No,30,0,0.0,23.7912,0.0,5.4478
104,Dormant,Male,Post Graduate,Salaried,Salaried,No,Yes,No,Yes,No,No,Need Improvement,No,30,5947,1500.0,22.0,0.0,5.4478
105,Active,Male,Graduate,Business,Savings,Yes,No,Yes,Yes,Yes,No,Need Improvement,Yes,35,2000,27239.0,15.0,12.0,3.0
106,Inactive,Male,Graduate,Salaried,Savings,Yes,No,No,No,No,No,Yes,Yes,2,5000,5234.0,1.0,1.0,5.4478
107,Active,Female,Graduate,Salaried,Salaried,Yes,No,No,No,No,No,Yes,Yes,45,2500,12000.0,4.0,15.0,2.0
108,Active,Female,Graduate,Other,Current,No,No,No,No,No,No,No,Yes,35,1000,32.0,3.0,5.0,5.0
109,Inactive,Male,Post Graduate,Business,Current,Yes,Yes,No,Yes,Yes,No,No,Yes,35,5947,27239.0,15.0,0.0,5.4478
110,Active,Male,Graduate,Salaried,Savings,No,Yes,No,Yes,Yes,No,Yes,Yes,23,0,15000.0,23.7912,41.1346,1.0
111,Dormant,Male,Graduate,Salaried,Savings,Yes,No,No,No,No,No,No,No,28,1500,27239.0,9.0,0.0,5.4478
112,Active,Male,10th,Salaried,Savings,Yes,Yes,No,No,No,No,Yes,Yes,54,5947,27239.0,23.7912,5.0,2.0
113,Active,Male,Graduate,Business,Savings,No,Yes,No,Yes,No,No,Yes,Yes,34,5947,27239.0,5.0,12.0,1.0
114,Active,Male,Graduate,Student,Savings,No,No,No,No,No,No,Yes,Yes,22,3000,0.0,1.0,0.0,1.0
115,Active,Male,Post Graduate,Student,Savings,Yes,Yes,No,No,No,No,Need Improvement,Yes,24,1000,5000.0,3.0,5.0,2.0
116,Dormant,Female,Graduate,Salaried,Savings,No,Yes,No,No,No,No,No,No,41,1000,0.0,23.7912,0.0,5.4478
117,Active,Transgender,Graduate,Student,Savings,Yes,No,No,Yes,No,No,Need Improvement,Yes,21,1000,8000.0,4.0,12.0,1.0
118,Inactive,Male,Graduate,Student,Savings,No,No,No,No,No,No,No,No,21,0,10.0,10.0,0.1,5.4478
119,Dormant,Male,Post Graduate,Salaried,Salaried,No,Yes,No,No,Yes,No,Need Improvement,No,38,1000,500.0,23.7912,0.0,5.4478
120,Active,Male,Graduate,Student,Savings,Yes,No,No,Yes,No,No,Yes,Yes,25,1000,1000.0,2.0,15.0,1.0
121,Active,Male,Graduate,Student,Savings,No,Yes,No,Yes,No,No,Need Improvement,Yes,22,1000,68.0,23.7912,20.0,1.0
122,Active,Male,10th,Other,Savings,Yes,Yes,No,Yes,No,No,Yes,Yes,50,3000,700.0,23.7912,41.1346,5.4478
123,Active,Male,Graduate,Salaried,Salaried,Yes,Yes,No,Yes,No,No,Yes,Yes,54,0,25000.0,23.7912,41.1346,1.0
124,Inactive,Male,Graduate,Salaried,Savings,Yes,Yes,No,No,No,No,No,Yes,54,500,10000.0,15.0,0.0,5.4478
125,Active,Male,Graduate,Student,Savings,Yes,No,No,Yes,No,No,No,Yes,16,500,500.0,7.0,40.0,1.0
126,Active,Male,Graduate,Student,Savings,Yes,No,No,Yes,No,No,No,Yes,16,500,500.0,7.0,40.0,1.0
127,Active,Male,Post Graduate,Salaried,Salaried,Yes,No,Yes,No,No,No,Yes,Yes,54,5000,27239.0,23.7912,12.0,3.0
128,Active,Male,Graduate,Salaried,Savings,No,No,Yes,No,Yes,Yes,No,Yes,35,1989,14900.0,23.7912,32.0,1.0
